Symbol
NVDA
GOOGL
GOOG
AAPL
MSFT
AMZN
AVGO
TSLA
META
BRK-B
LLY
WMT
MU
JPM
AMD
XOM
V
INTC
JNJ
ORCL
COST
CSCO
MA
CAT
CVX
ABBV
LRCX
NFLX
BAC
KO
UNH
AMAT
PG
PLTR
MS
GE
HD
PM
GS
MRK
GEV
TXN
KLAC
LIN
IBM
RTX
WFC
SNDK
QCOM
C
AXP
TMUS
PANW
PEP
MCD
VZ
ADI
ANET
NEE
AMGN
STX
DIS
T
TJX
BA
WDC
TMO
GLW
BLK
CRWD
DELL
APP
CRM
GILD
UNP
SCHW
ISRG
APH
ABT
WELL
UBER
ETN
PFE
COP
DE
IBKR
HON
PLD
CB
VRT
BKNG
MO
SPGI
DHR
LOW
BMY
LMT
SYK
CVS
SBUX
ACN
PGR
COF
NEM
VRTX
PH
PWR
EQIX
SO
CME
HWM
CEG
NOW
MDT
TT
CDNS
ADBE
MAR
DUK
SNPS
BNY
FTNT
WMB
FDX
MCK
GD
CMCSA
FCX
ADP
CMI
BX
PNC
WM
HCA
ICE
AMT
SLB
CSX
KKR
BSX
USB
ELV
MNST
INTU
UPS
CIEN
JCI
ABNB
MRSH
MMM
MDLZ
NOC
MCO
DDOG
MPWR
ORLY
SHW
NXPI
EMR
APO
LITE
CI
EOG
KMI
COHR
HLT
MPC
CL
ITW
VLO
CVNA
AEP
ECL
ROST
NSC
RCL
PSX
GM
DASH
AON
CTAS
HOOD
DLR
WBD
TDG
CRH
REGN
SPG
MSI
NKE
TRV
BKR
APD
FIX
RSG
D
AFL
SRE
TFC
TEL
OXY
GWW
URI
OKE
O
TRGP
KEYS
PCAR
TGT
LHX
AZO
FANG
TER
ALL
F
MET
PSA
AJG
CTVA
EBAY
CARR
COR
NUE
ETR
AME
NDAQ
COIN
ADSK
EA
VST
XEL
FAST
DAL
MCHP
ROK
EW
CAH
EXC
GRMN
HPE
FITB
TTWO
PCG
IDXX
WAB
ODFL
ON
VTR
STT
YUM
MSCI
CMG
AIG
KR
ARES
DHI
XYZ
AMP
BDX
CCI
ED
CBOE
KDP
PEG
LYV
PYPL
HSY
CBRE
IRM
EME
JBL
CCL
HIG
SATS
ADM
SYY
TKO
WEC
HUM
PRU
EQT
HAL
VMC
PAYX
ACGL
ZTS
KVUE
WAT
STLD
CPRT
KMB
LVS
ROP
A
UAL
MLM
HBAN
Q
AXON
MTB
NTRS
VICI
CASY
WDAY
EXR
AEE
RMD
DTE
FISV
ATO
RJF
DVN
GEHC
NRG
EL
CNC
FICO
TDY
TPR
IQV
DOV
BIIB
KHC
VRSN
CNP
DXCM
IR
OTIS
TPL
PPL
EIX
FOXA
FSLR
CFG
FE
ES
EXPE
CINF
STZ
DOW
XYL
VEEV
AVB
ROL
WRB
CTSH
EQR
NTAP
JBHT
WTW
HUBB
SYF
FOX
AWK
PPG
RF
TSN
BG
EXE
KEY
DG
NI
CMS
CPAY
RL
CHD
LYB
WSM
DRI
FIS
VRSK
L
PFG
WST
PHM
SBAC
MTD
ULTA
LEN
TROW
FFIV
STE
DGX
AKAM
VLTO
OMC
CHRW
LH
CHTR
EXPD
SMCI
HPQ
ALB
LUV
GPN
BRO
SW
INCY
EFX
DD
EVRG
IFF
VTRS
PKG
LNT
SNA
MRNA
CF
DLTR
FTV
GIS
AMCR
ESS
BR
INVH
WY
PTC
LII
IP
TSCO
ZBH
NWS
NVR
KIM
BEN
NDSN
TXT
LDOS
HST
IEX
MAA
GEN
BALL
GNRC
DECK
NWSA
REG
EG
LULU
CSGP
CDW
APA
MAS
DOC
J
GPC
SOLV
TRMB
TYL
BBY
DVA
HAS
AIZ
MKC
HII
PNW
COO
UDR
GL
AVY
GDDY
PNR
IVZ
APTV
SWK
ALGN
HRL
ZBRA
CLX
PSKY
ALLE
SWKS
SJM
PODD
CPT
RVTY
DPZ
IT
AES
ERIE
FRT
WYNN
TTD
JKHY
UHS
BAX
MGM
BXP
HSIC
ARE
FDS
TAP
BLDR
AOS
CRL
NCLH
TECH
MOS
POOL
CAG
CPB
EPAM
BF-B
